Code UAI de l'établissement,Établissement,"Statut de l’établissement de la filière de formation (public, privé…)",Département de l’établissement,Région de l’établissement,Commune de l’établissement,Coordonnées GPS de la formation,Filière de formation,Filière de formation très agrégée,Filière de formation détaillée bis,Capacité de l’établissement par formation,Effectif total des candidats en phase principale,Rang du dernier appelé du groupe 1,f_ratio_candidats,f_ratio_admis,f_selectivity_candidats,b_ratio_candidats,b_ratio_admis,b_selectivity_candidats,gen_candidats_ratio,tech_candidats_ratio,prof_candidats_ratio,gen_admis_ratio,tech_admis_ratio,prof_admis_ratio,gen_selectivity_candidats,tech_selectivity_candidats,prof_selectivity_candidats,sans_mention_ratio,assez_bien_mention_ratio,bien_mention_ratio,tres_bien_mention_ratio,tres_bien_avec_felicitation_mention_ratio,meme_academie_ratio,meme_etablissement_ratio,last_call_rank_ratio,pressure_ratio,taux_acces_ratio,longitude,latitude,cluster
0690097F,Lycée Claude Bernard,Public,Rhône,Auvergne-Rhône-Alpes,Villefranche-sur-Saône,"45.9893, 4.71203",CPGE - ECT - Option technologique,CPGE,ECT - Option technologique,-0.9130434782608696,-0.5373322147651006,-0.504406779661017,0.4649757531782554,0.4054054054054055,-0.0976155895822061,2.358010438926987,0.3076923076923076,0.9154627024020108,-1.7529821709252271,216.87837675644184,0.0,-1.0,1.0,0.0,0.0,-0.1189801699716713,0.0,1.5,0.1333333333333333,0.1941747572815535,-0.2285714285714286,1.0,-0.1315789473684208,0.7058823529411764,0.4122562600368233,0.5473206261165364,-0.2900000000000001,-0.5527430548333654,0.6961093133990979,0
0750658H,Lycée Saint-Louis (6ème),Public,Paris,Ile-de-France,Paris  6e  Arrondissement,"48.849, 2.34147",CPGE - PCSI,CPGE,PCSI,8.478260869565217,5.272231543624161,4.450169491525424,-0.379051528596774,0.1891891891891892,-0.6036927601138479,0.1161789698483673,0.1538461538461538,-0.3434785308552721,0.5092163020637905,-0.4645852064168748,0.446927323446195,0.0,0.0,0.0,0.6161686200121717,0.0,0.0,0.0,-0.6333333333333332,-1.5145631067961165,1.142857142857143,8.75,-1.157894736842105,-0.4705882352941176,-0.574084495019228,-0.2749376101540975,-0.7500000000000001,0.2403128184862406,-0.0061888365416878,1
9740471U,Lycée Jean Claude Fruteau (ex Lycée Amiral Pierre Bouvet),Public,La Réunion,Réunion,Saint-Benoît,"-21.0428, 55.719",CPGE - TSI,CPGE,TSI,-0.8695652173913043,-0.7378355704697986,-0.7674576271186441,-1.161414698538774,-0.7567567567567568,1.3668889289246664,5.989577235431385,1.6153846153846154,0.6417584484296757,-1.7529821709252271,239.7381924375921,0.0,-1.0,1.0,0.0,0.0,-0.0263157894736841,0.0,3.625,0.7999999999999998,-0.8932038834951456,-0.4571428571428572,1.0,0.7894736842105264,0.9411764705882352,1.0368174741495388,4.100773681775895,0.43,-8.795968024848003,1.5968975827542102,0
0060075Z,Lycée Les Eucalyptus,Public,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,Nice,"43.6759, 7.22148",CPGE - PCSI,CPGE,PCSI,0.1304347826086956,0.0734060402684563,0.4067796610169492,-0.2710430038460868,-0.1621621621621621,0.2264783686130872,0.6847243484500154,0.6923076923076924,-0.5274411433143957,-0.1927964081962353,0.2200440570633116,0.0,0.0,0.0,0.0,-0.4278128916223368,0.0,0.0,0.8750000000000001,0.6666666666666666,0.1165048543689321,-0.4000000000000001,0.0,0.4473684210526317,0.7058823529411764,0.2635909736419997,-0.0065728821428492,0.05,-1.1942982729812748,1.4395547829796624,0
0940878U,Lycée Teilhard De Chardin,Privé sous contrat d'association,Val-de-Marne,Ile-de-France,Saint-Maur-des-Fossés,"48.8126, 2.4717",CPGE - ECG -  - Mathématiques appliquées + ESH,CPGE,ECG - Mathématiques appliquées + ESH,-0.217391304347826,-0.2445469798657718,0.0732203389830508,-0.0620493707994244,0.108108108108108,-0.1270226353595677,-0.1011505790174871,0.0,-0.2957514679180422,0.0041808160869176,-0.4645852064168748,0.0,0.0,0.0,0.0,-0.1348828956846189,0.0,0.0,1.625,1.1,-0.233009708737864,-0.6571428571428573,0.0,0.3421052631578947,0.2352941176470588,0.5838343365758707,0.2887871928679349,0.1699999999999999,0.2302183212351898,0.0323928859486895,0
9740001H,Lycée Leconte de Lisle,Public,La Réunion,Réunion,Saint-Denis,"-20.8879, 55.4693",CPGE - ENS Rennes D1,CPGE,ENS Rennes D1,-0.4347826086956521,-0.5708892617449665,-0.6020338983050847,1.2704209292853876,1.2972972972972974,-0.4866783875504007,4.331779088078478,1.5384615384615383,0.2029206639734462,0.3551696769733328,7.417036027045124,0.0,0.0,0.0,0.0,0.3870818439841965,0.0,0.0,0.0,-0.2666666666666666,-0.0388349514563104,0.6,1.0,0.7894736842105264,0.7843137254901961,0.0432673243214846,1.5767097874941438,-0.5300000000000001,-8.795968024848003,1.5968975827542102,0
0624430D,GAMBETTA CARNOT,Public,Pas-de-Calais,Hauts-de-France,Arras,"50.2877, 2.77706",CPGE - ECG,CPGE,ECG - Mathématiques appliquées + ESH,-0.9130434782608696,-0.3863255033557047,-0.4094915254237288,0.2876460871205087,-0.5135135135135135,3.229466921005262,0.1455372394791865,3.0,-1.303016252691544,-0.709001006741584,-0.4645852064168748,0.0,0.0,0.0,0.0,-1.1954742875284676,0.0,0.0,4.75,0.6333333333333332,-1.1262135922330097,-0.3142857142857143,0.0,0.1315789473684211,0.4705882352941176,0.0084739488789237,0.008100619426799,0.63,0.6392950491205445,0.1228583300065992,0
0260035X,Lycée CAMILLE VERNET,Public,Drôme,Auvergne-Rhône-Alpes,Valence,"44.922, 4.90358",CPGE - MPSI,CPGE,MPSI,0.0,0.3905201342281879,1.2176271186440677,-0.6679295754274188,-0.6216216216216216,1.7153638389695218,0.3927001418465317,-0.3076923076923076,1.1531951695155864,-0.0046824169167306,0.211754052273627,0.0,0.0,0.0,0.0,-0.148063641921664,0.0,0.0,0.0,0.2333333333333333,0.3495145631067962,0.0285714285714285,0.0,0.2368421052631581,-0.0784313725490195,0.644471124818771,-0.3250315313533928,0.0900000000000001,-0.8487281349445726,0.7528575967672291,0
0380032D,Lycée polyvalent Emmanuel Mounier,Public,Isère,Auvergne-Rhône-Alpes,Grenoble,"45.17942, 5.73096",CPGE - B/L - Lettres et sciences sociales,CPGE,B/L - Lettres et sciences sociales,-0.4347826086956521,1.5104865771812082,0.2983050847457627,0.2114158953947255,0.5675675675675674,-0.52372910330726,-1.278240965503842,0.2307692307692308,-1.3915308549111074,-1.3414517809648907,-0.2879962696900598,0.5820932462493571,0.0,0.0,0.0,-2.13600841982858,0.0,0.0,0.75,0.1333333333333333,0.504854368932039,-0.1714285714285714,0.0,0.1052631578947369,-0.4705882352941176,-0.9149499854595378,-0.755181148627585,0.43,-0.7773400722422141,0.9979758149511212,0
0290012F,Lycée Vauban,Public,Finistère,Bretagne,Brest,"48.4075, -4.48218",CPGE - PTSI,CPGE,PTSI,0.1304347826086956,-0.3628355704697986,-0.1898305084745762,-0.882079851478584,-0.8648648648648649,5.4033550728467095,-0.4877206932031642,-0.5384615384615385,1.1437380297133015,-0.3222242076941018,1.2943791045090471,0.0,0.0,0.0,0.0,-0.6202883664855514,0.0,0.0,0.0,0.5333333333333332,0.7766990291262136,-0.5428571428571429,0.0,0.6842105263157895,0.5490196078431373,0.3516157248371118,0.9600124286221446,0.47,0.1178754411142773,-2.0274231524404653,0
0290338K,Lycée Sainte Anne,Privé sous contrat d'association,Finistère,Bretagne,Brest,"48.3968, -4.49057",CPGE - MPSI,CPGE,MPSI,-0.9130434782608696,-0.4911912751677852,-0.168135593220339,-0.5979727689902588,-0.6486486486486487,2.2099148088192053,-0.5313964797093357,-0.3076923076923076,-0.1124352639379181,0.2686217763549482,-0.4645852064168748,0.0,0.0,0.0,0.0,0.2583741912653346,0.0,0.0,0.0,0.2333333333333333,0.6990291262135921,-0.2285714285714286,0.0,0.3947368421052632,2.117647058823529,1.4074475537733504,0.3320805049821456,0.1699999999999999,0.1149081026366332,-2.0274231524404653,0
0692866R,Lycée La Martiniere Monplaisir,Public,Rhône,Auvergne-Rhône-Alpes,Lyon 8e  Arrondissement,"45.7399, 4.86873",CPGE - MP2I,CPGE,MP2I,0.1304347826086956,0.7596476510067114,0.1627118644067796,-1.0824028312681182,-0.5945945945945946,0.2954855076404464,0.5840495285912484,1.076923076923077,-0.7901117604637491,0.2242438254715018,-0.0748620711761788,0.8564341916907339,0.0,0.0,0.0,0.1923785766996357,0.0,0.0,0.0,-0.3999999999999999,-0.3495145631067959,0.9142857142857144,1.7500000000000002,-0.3421052631578947,-0.4705882352941176,-0.7335039703507253,-0.4557607805705989,-0.8500000000000001,-0.6219070002842547,0.7425329939200382,0
0310036W,Lycée Pierre De Fermat,Public,Haute-Garonne,Occitanie,Toulouse,"43.6033, 1.43927",CPGE - Ecole nationale des Chartes,CPGE,Ecole nationale des Chartes,-0.4782608695652174,-0.1539429530201342,-0.4745762711864407,0.5176344745395481,1.0,-0.7037912441170662,-0.7650888978793936,0.0769230769230768,-0.9388559932042074,-0.6678200388263098,1.0582218590606594,0.0,0.0,0.0,0.0,-1.1342329901752677,0.0,0.0,0.0,-0.6333333333333332,-0.7766990291262135,1.5142857142857145,0.75,-0.6578947368421051,-0.4705882352941176,-0.713988888456006,-0.0635941293707623,-0.23,-1.2144318032127712,-0.2734731030764207,0
0690571W,Lycée Saint-Marc,Privé sous contrat d'association,Rhône,Auvergne-Rhône-Alpes,Lyon 2e  Arrondissement,"45.7551, 4.82885",CPGE - B/L - Lettres et sciences sociales,CPGE,B/L - Lettres et sciences sociales,0.1304347826086956,-0.1480704697986577,0.1708474576271186,0.7728278115941182,0.5135135135135134,0.0075468118715525,-0.772691389982721,-0.8461538461538461,0.4402809852686186,-0.1256240472299889,-0.4645852064168748,0.0,0.0,0.0,0.0,-0.3279191120415856,0.0,0.0,0.0,-0.2333333333333333,0.7378640776699029,0.1142857142857143,0.0,-0.7894736842105261,-0.1568627450980391,0.4201249978816481,0.3303896234252204,0.1699999999999999,-0.6176917157178827,0.7307182116662087,0
0750656F,Lycée Lavoisier,Public,Paris,Ile-de-France,Paris  5e  Arrondissement,"48.8423, 2.33954",CPGE - PCSI,CPGE,PCSI,0.1304347826086956,0.8947147651006712,1.4264406779661016,-0.0693845288423867,0.2702702702702702,-0.4013263301131547,1.149343900047573,0.1538461538461538,0.4184493584640122,0.4019814316164795,-0.4645852064168748,0.0,0.0,0.0,0.0,0.4566968319471841,0.0,0.0,0.0,-0.5666666666666667,1.2815533980582523,0.0,0.0,-0.8421052631578946,-0.1568627450980391,0.1412600545692069,-0.5021544894925871,-0.47,0.238454765420801,-0.0067606151211734,0
0750663N,Lycée Chaptal,Public,Paris,Ile-de-France,Paris  8e  Arrondissement,"48.8817, 2.31967",CPGE - PTSI,CPGE,PTSI,0.0,0.824244966442953,0.7593220338983051,-1.0378505104533615,-0.3513513513513513,-0.5225053434769846,0.1662372707455162,0.3846153846153846,-0.5580363223611479,0.3640032714323765,0.783869978843047,5.761426978818283,0.0,0.0,0.0,0.4002185139642925,0.0,0.0,0.0,-0.1666666666666666,-0.1553398058252426,0.7428571428571429,0.0,-1.3421052631578947,-0.4705882352941176,-0.2970789428510749,-0.5145471422656709,-0.7100000000000001,0.2493812267310051,-0.0126472681648942,0
0600020W,Lycée Marie Curie,Public,Oise,Hauts-de-France,Nogent-sur-Oise,"49.2658, 2.4615",CPGE - PTSI,CPGE,PTSI,0.1304347826086956,-0.3208892617449664,-0.2332203389830508,-0.7214911352843263,-0.7027027027027027,2.4438425076003205,-0.2265714187309114,-0.6923076923076923,5.187067234591751,-0.4997526638168074,0.7466819520480706,0.0,0.0,0.0,0.0,-0.8842955892500425,0.0,0.0,0.625,0.1666666666666666,0.8932038834951458,-0.4571428571428572,0.0,-0.7105263157894736,1.4117647058823528,0.0834386495352049,0.7955785369979225,0.3899999999999999,0.3559003584378482,0.029371050969024,0
0690539L,Lycée Assomption Bellevue,Privé sous contrat d'association,Rhône,Auvergne-Rhône-Alpes,Lyon 7e  Arrondissement,"45.7385, 4.83745",CPGE - BCPST,CPGE,BCPST,0.1304347826086956,-0.0163590604026845,0.8,1.2784447232989458,1.189189189189189,-0.3942200159260228,-0.2883845231667841,-0.6923076923076923,4.890762816661978,0.0948811839689399,1.0550949451685083,1.6697828850315235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666666,0.5436893203883497,-0.3428571428571429,1.25,-0.3947368421052629,-0.3137254901960783,1.0874436701877883,0.1079848821307456,0.1299999999999999,-0.6222952501785267,0.7332660333157303,0
